datasetid;recordid;record_timestamp;titre;commune;auteur;code_insee;nombre_de_prets_2017
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;1be140d8243b630e2ae6c018b73aaf7b60c248c0;2018-07-11T14:46:04+02:00;Le stratège;Cesson-Sévigné;Miller Bennett;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;16d353919aca5702dbcfb60203d342b856dd0b4d;2018-07-11T14:46:04+02:00;Daddy cool;Cesson-Sévigné;Forbes Maya;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;4f9f8fa686f422221a565fbc812a1505948644a9;2018-07-11T14:46:04+02:00;Sumô;Cesson-Sévigné;Maymon Sharon;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;d8238a9c1bcbae8a0d0c86e9cf843a5089f00749;2018-07-11T14:46:04+02:00;Harry, un ami qui vous veut du bien;Cesson-Sévigné;Moll Dominik;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;805479cd4343389bd8cbf84b6af19c161083380b;2018-07-11T14:46:04+02:00;Butch Cassidy et le Kid;Cesson-Sévigné;Roy-Hill George;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;69291d13a80ec00b41bb5af347dbc82b774fda17;2018-07-11T14:46:04+02:00;Le Masque de fer;Cesson-Sévigné;Decoin Henri;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a63a1917cc2b9a6c476b75284fcbfb95ccc5c4e1;2018-07-11T14:46:04+02:00;La Règle du jeu;Cesson-Sévigné;Renoir Jean;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;50b255065d5f894598fe5e12ac53120942f5fdc2;2018-07-11T14:46:04+02:00;Six feet under;Cesson-Sévigné;Cuesta Michael;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;1888810c99e9bbaa8e5670484069601fb1e9dd61;2018-07-11T14:46:04+02:00;La bête humaine;Cesson-Sévigné;Renoir Jean;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;48f5216a2358f223313e4685681b36845b1f3615;2018-07-11T14:46:04+02:00;Riparo;Cesson-Sévigné;Puccioni Marco Simon;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a7ff6af113d5c51e3d56507bc20ae87001ad0c50;2018-07-11T14:46:04+02:00;Va savoir;Cesson-Sévigné;Rivette Jacques;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a8d50f554c609b4d9d5df285b71d6d678ed30a9f;2018-07-11T14:46:04+02:00;Hana-bi;Cesson-Sévigné;Kitano Takeshi;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;b3b65a2de5eb580577220197aa7c9dac1c2f0546;2018-07-11T14:46:04+02:00;Uranus;Cesson-Sévigné;Berri Claude;35051.0;1.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;e4f61997497da017421a3264dd7c0cf37c0a9023;2018-07-11T14:46:04+02:00;Little miss Sunshine;Cesson-Sévigné;Dayton Jonathan;35051.0;0.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;c910b8916fda768661719817f9226d3cdb073479;2018-07-11T14:46:04+02:00;La Leçon de piano;Cesson-Sévigné;Campion Jane;35051.0;0.0
